"age","workclass","fnlwgt","education","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
32,"Private",48458,"HS-grad",9,"Never-married","Sales","Own-child","Black","Female",0,1669,45,"United-States","<=50K"
33,"Private",75167,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,55,"United-States","<=50K"
30,"Private",54608,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","<=50K"
49,"State-gov",203039,"11th",7,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","<=50K"
24,"Private",249046,"Bachelors",13,"Never-married","Tech-support","Own-child","White","Male",0,0,40,"United-States","<=50K"
39,"State-gov",152307,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
20,"Self-emp-inc",182200,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,30,"United-States","<=50K"
37,"Private",161141,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"Portugal",">50K"
32,"Self-emp-inc",281030,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
18,"Private",119655,"12th",8,"Never-married","Adm-clerical","Own-child","White","Female",0,0,12,"United-States","<=50K"
21,"Private",30619,"Some-college",10,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,38,"United-States","<=50K"
34,"Private",32528,"Assoc-voc",11,"Married-spouse-absent","Adm-clerical","Unmarried","White","Female",0,974,40,"United-States","<=50K"
54,"Private",315804,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
36,"Private",169926,"HS-grad",9,"Divorced","Sales","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
17,"Private",52486,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,12,"United-States","<=50K"
